ArticleName,ArticleLink
Canvas: Kaltura error in Safari due to third party cookies,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=cf0c35201bbaf410108915ff034bcb11
Canvas: Prepare Final Grades for LionPATH,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=bbf2aa25db3320502c4f9e74f39619fb
Canvas: Manually Enter Grades from Canvas into LionPATH,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=f6dc4329db4cd0507fb5266e139619c6
2FA: Reactivate or Reinstall Duo Mobile on My Smartphone to Receive Duo Push and Duo Passcodes,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=5c76a5c6db07b0549cde83aa13961956
GlobalProtect Remote Access VPN - Overview,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=75d17f2b1b07f094108915ff034bcbaf
Zoom: Allow Participants to Record Breakout Rooms During a Meeting,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=0ea9b094db60a0987fb5266e13961974
2FA: Finding Help with Two-Factor Authentication - Master List of Knowledge Base Articles,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=f953fd9ddbd8b0d42c4f9e74f3961976
Oﬀice365: Configure Mail App on iOS,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=e110a68bdb2070902c4f9e74f396195e
2FA: Add (Enroll) a Smartphone for Use with 2FA from the Smartphone itself,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=be756d42db07b0549cde83aa13961996
Starfish: Complete a Progress Survey,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=e822024edb8cf89029b24a28139619d9
"GlobalProtect Remote Access VPN - Windows OS Download, Install, and Set up",https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=83ba7ba31b4bf094108915ff034bcb9b
Canvas: Creating a Penn State-Compatible Grading Scheme,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=f41d065c1b7c005cd4eeea0dad4bcbe4
"Oﬀice 365: Sign-in Error: ""Sorry, but we're having trouble signing you in""",https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=d65e9677db2e1c546ff9e1f5ca9619c0
"Oﬀice 365: View Previous Versions of Files in Teams, SharePoint, or OneDrive",https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=061009d21bd537cc40a242a2cd4bcbde
Kaltura: Sharing a Link to Your Media File,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=949736dddb033c146ff9e1f5ca96198e
How students can license and install MATLAB software,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=7904dcffdba0bc907fb5266e139619fa
Reset My Penn State Account Password (I Forgot It),https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=73096e83db5d3c502c4f9e74f396198d
Cellular: Faculty/Staﬀ Personal Accounts - Benefits & Features,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=7a4d4137db7a20d0816667e81396194b
Canvas: Accessing my Zoom lectures,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=b77312fe1b3e18d8108915ff034bcb5d
ZOOM: I am a Host. What permissions do I have? What can I do?,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=abd88b2b4f75c38c09d02ae6f110c7c2
Create Contact Groups in Outlook,https://pennstate.service-now.com/kb?id=kb_article_view&sys_kb_id=6917592b1b15fb40dce996c4bd4bcbe1
